0,0,240,-0,0,0,6
1,0,339,0,0,0,6
4,290.667,162.265,-0.000430918,297.5,78,6
6,0,86,-0,0,0,6
7,0,68,-0,0,0,6
8,0,19,-0,0,0,6
2,3.57143,193.492,1.34987e-005,290,96,7
0,0,240,-0,0,0,6
1,0,339,0,0,0,6
4,290.667,162.265,-0.000430918,297.5,78,6
6,0,86,-0,0,0,6
7,0,68,-0,0,0,6
8,0,19,-0,0,0,6
2,3.57143,193.492,1.34987e-005,290,96,7
11,0,65,-0,0,0,6
5,363.333,167.513,-0.00240628,513.149,163.213,51
12,52.9,166.247,4.24999e-006,509.25,124.75,10
3,1258.13,299.896,-0.2911,143.609,254.13,68
14,41.625,215.985,-0.000155897,551,193,16
9,488.726,297.255,-0.0038324,645.755,290.377,62
16,2.88889,332.493,3.37071e-005,154.75,249.25,9
18,0,303,-0,0,0,6
15,1134.73,127.956,-0.00384778,454.982,123.582,59
17,131.587,166.872,-0.00116558,585.78,161.244,46
13,169.729,274.859,-0.00183917,657.633,270.405,70
